"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"TOLERANCE";
"R101.3";"49k4";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R101.4";"49k4";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R102.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R102.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R102.3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R102.4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R103.1";"10R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R103.2";"10R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R103.3";"10R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R103.4";"10R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R121.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R121.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R151.1";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R151.2";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R151.3";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R151.4";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R152.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R152.3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R152.4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R153.1";"330R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R153.2";"1k2";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R153.3";"1k2";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R153.4";"1k2";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R154A";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R154B";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R155A";"15K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R156B";"DNP";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R157";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R158";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R159";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R160";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R301";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R302";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R303";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R304";"10k";"TRIM_EU-S64Z";"RTRIM64Z";"POTENTIOMETER";"";"";"";"";"S64Z";"";
"R305";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R321.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R321.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R322.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R322.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R323.1";"6k8";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R323.2";"6k8";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R324.1";"1k";"TRIM_EU-S64Z";"RTRIM64Z";"POTENTIOMETER";"";"";"";"";"S64Z";"";
"R324.2";"1k";"TRIM_EU-S64Z";"RTRIM64Z";"POTENTIOMETER";"";"";"";"";"S64Z";"";
"R325.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R325.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R326.1";"2k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R326.2";"2k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R352.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R352.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R352.3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
